first_month,month_number,active_users
2023-01-01,0,47
2023-01-01,1,1
2023-01-01,4,1
2023-01-01,5,1
2023-01-01,8,1
2023-01-01,9,2
2023-01-01,11,2
2023-01-01,14,1
2023-01-01,15,1
2023-01-01,17,1
2023-01-01,18,1
2023-01-01,19,1
2023-01-01,21,1
2023-01-01,23,2
2023-01-01,24,1
2023-01-01,25,2
2023-01-01,27,1
2023-01-01,31,2
2023-01-01,32,1
2023-01-01,33,4
2023-02-01,0,51
2023-02-01,3,2
2023-02-01,4,1
2023-02-01,5,2
2023-02-01,6,1
2023-02-01,7,1
2023-02-01,8,1
2023-02-01,11,2
2023-02-01,14,2
2023-02-01,15,1
2023-02-01,17,1
2023-02-01,18,1
2023-02-01,19,1
2023-02-01,20,1
2023-02-01,21,1
2023-02-01,22,1
2023-02-01,23,2
2023-02-01,27,1
2023-02-01,29,1
2023-02-01,31,1
2023-02-01,32,3
2023-03-01,0,51
2023-03-01,3,2
2023-03-01,5,2
2023-03-01,6,1
2023-03-01,7,1
2023-03-01,10,2
2023-03-01,11,1
2023-03-01,12,2
2023-03-01,13,1
2023-03-01,14,1
2023-03-01,18,1
2023-03-01,19,2
2023-03-01,20,1
2023-03-01,22,1
2023-03-01,23,1
2023-03-01,24,1
2023-03-01,25,1
2023-03-01,27,1
2023-03-01,28,2
2023-03-01,30,2
2023-03-01,31,1
2023-04-01,0,48
2023-04-01,3,1
2023-04-01,5,1
2023-04-01,10,1
2023-04-01,12,1
2023-04-01,13,2
2023-04-01,14,1
2023-04-01,15,3
2023-04-01,18,4
2023-04-01,19,1
2023-04-01,20,1
2023-04-01,23,1
2023-04-01,25,1
2023-04-01,26,3
2023-04-01,27,1
2023-04-01,28,2
2023-04-01,29,1
2023-04-01,30,1
2023-04-01,32,1
2023-05-01,0,36
2023-05-01,1,1
2023-05-01,4,1
2023-05-01,5,1
2023-05-01,6,1
2023-05-01,7,1
2023-05-01,8,4
2023-05-01,10,1
2023-05-01,11,2
2023-05-01,12,1
2023-05-01,14,1
2023-05-01,20,1
2023-05-01,22,1
2023-05-01,24,1
2023-05-01,28,1
2023-05-01,29,1
2023-05-01,30,1
2023-06-01,0,54
2023-06-01,1,1
2023-06-01,2,2
2023-06-01,3,1
2023-06-01,7,1
2023-06-01,8,1
2023-06-01,9,1
2023-06-01,10,1
2023-06-01,11,3
2023-06-01,13,1
2023-06-01,17,2
2023-06-01,20,2
2023-06-01,23,3
2023-06-01,26,1
2023-06-01,28,1
2023-06-01,30,4
2023-07-01,0,55
2023-07-01,1,1
2023-07-01,2,1
2023-07-01,3,1
2023-07-01,5,2
2023-07-01,6,1
2023-07-01,8,2
2023-07-01,10,1
2023-07-01,11,1
2023-07-01,12,2
2023-07-01,13,1
2023-07-01,15,1
2023-07-01,17,1
2023-07-01,18,2
2023-07-01,21,3
2023-07-01,24,2
2023-07-01,25,1
2023-07-01,26,1
2023-07-01,27,2
2023-07-01,28,1
2023-07-01,29,1
2023-08-01,0,62
2023-08-01,2,1
2023-08-01,3,2
2023-08-01,4,1
2023-08-01,5,1
2023-08-01,6,2
2023-08-01,7,1
2023-08-01,8,2
2023-08-01,10,1
2023-08-01,11,2
2023-08-01,12,1
2023-08-01,13,1
2023-08-01,14,1
2023-08-01,18,1
2023-08-01,19,2
2023-08-01,20,1
2023-08-01,22,2
2023-08-01,23,2
2023-08-01,26,2
2023-08-01,28,1
2023-09-01,0,51
2023-09-01,2,1
2023-09-01,3,2
2023-09-01,5,1
2023-09-01,6,1
2023-09-01,8,1
2023-09-01,9,3
2023-09-01,10,1
2023-09-01,12,1
2023-09-01,14,1
2023-09-01,15,1
2023-09-01,18,1
2023-09-01,19,1
2023-09-01,22,2
2023-09-01,24,1
2023-09-01,26,2
2023-09-01,27,2
2023-10-01,0,53
2023-10-01,3,1
2023-10-01,5,3
2023-10-01,6,2
2023-10-01,8,1
2023-10-01,11,1
2023-10-01,12,1
2023-10-01,13,2
2023-10-01,15,1
2023-10-01,17,1
2023-10-01,19,3
2023-10-01,20,2
2023-10-01,23,1
2023-10-01,24,1
2023-10-01,25,1
2023-10-01,26,4
2023-11-01,0,41
2023-11-01,1,2
2023-11-01,3,1
2023-11-01,6,2
2023-11-01,9,1
2023-11-01,10,2
2023-11-01,12,1
2023-11-01,14,1
2023-11-01,16,3
2023-11-01,17,2
2023-11-01,18,3
2023-11-01,21,1
2023-11-01,23,1
2023-11-01,24,1
2023-12-01,0,68
2023-12-01,6,1
2023-12-01,7,3
2023-12-01,8,1
2023-12-01,9,3
2023-12-01,10,1
2023-12-01,13,1
2023-12-01,14,1
2023-12-01,16,3
2023-12-01,17,1
2023-12-01,18,4
2023-12-01,19,2
2023-12-01,20,1
2023-12-01,22,2
2023-12-01,23,2
2023-12-01,24,2
2024-01-01,0,36
2024-01-01,1,3
2024-01-01,5,1
2024-01-01,10,1
2024-01-01,16,1
2024-01-01,17,1
2024-01-01,22,1
2024-02-01,0,26
2024-02-01,4,1
2024-02-01,6,1
2024-02-01,13,1
2024-02-01,14,2
2024-02-01,17,1
2024-02-01,20,1
2024-02-01,22,1
2024-03-01,0,31
2024-03-01,2,2
2024-03-01,4,1
2024-03-01,9,1
2024-03-01,15,1
2024-03-01,20,1
2024-04-01,0,56
2024-04-01,1,2
2024-04-01,3,1
2024-04-01,4,1
2024-04-01,6,1
2024-04-01,10,2
2024-04-01,11,1
2024-04-01,12,1
2024-04-01,13,2
2024-04-01,14,2
2024-04-01,15,1
2024-04-01,16,1
2024-04-01,17,2
2024-04-01,19,1
2024-05-01,0,47
2024-05-01,4,1
2024-05-01,5,3
2024-05-01,6,1
2024-05-01,9,1
2024-05-01,10,1
2024-05-01,11,1
2024-05-01,14,1
2024-05-01,15,1
2024-05-01,16,1
2024-05-01,18,2
2024-06-01,0,33
2024-06-01,1,1
2024-06-01,6,1
2024-06-01,11,1
2024-06-01,12,1
2024-06-01,13,1
2024-06-01,16,2
2024-06-01,17,1
2024-06-01,18,1
2024-07-01,0,32
2024-07-01,1,1
2024-07-01,3,1
2024-07-01,5,2
2024-07-01,10,2
2024-07-01,14,1
2024-07-01,15,1
2024-08-01,0,44
2024-08-01,1,1
2024-08-01,2,1
2024-08-01,3,1
2024-08-01,5,1
2024-08-01,8,2
2024-08-01,9,1
2024-08-01,10,1
2024-08-01,15,3
2024-08-01,16,3
2024-09-01,0,48
2024-09-01,1,1
2024-09-01,6,1
2024-09-01,8,1
2024-09-01,9,1
2024-09-01,10,1
2024-09-01,11,1
2024-09-01,12,1
2024-10-01,0,57
2024-10-01,1,3
2024-10-01,2,1
2024-10-01,3,3
2024-10-01,6,2
2024-10-01,7,1
2024-10-01,8,1
2024-10-01,9,2
2024-10-01,11,2
2024-11-01,0,43
2024-11-01,3,2
2024-11-01,4,1
2024-11-01,5,1
2024-11-01,6,1
2024-11-01,7,1
2024-11-01,9,1
2024-11-01,10,2
2024-11-01,12,1
2024-11-01,13,1
2024-12-01,0,38
2024-12-01,1,1
2024-12-01,4,1
2024-12-01,10,1
2024-12-01,11,1
2024-12-01,12,2
2025-01-01,0,28
2025-01-01,5,1
2025-01-01,6,2
2025-01-01,8,1
2025-01-01,9,1
2025-01-01,10,1
2025-02-01,0,28
2025-02-01,4,2
2025-02-01,5,1
2025-02-01,8,2
2025-03-01,0,33
2025-03-01,1,1
2025-03-01,2,1
2025-03-01,6,1
2025-04-01,0,43
2025-04-01,1,1
2025-04-01,3,1
2025-05-01,0,46
2025-05-01,1,1
2025-05-01,3,1
2025-05-01,7,1
2025-06-01,0,38
2025-06-01,1,1
2025-06-01,2,1
2025-06-01,4,1
2025-06-01,5,1
2025-07-01,0,37
2025-07-01,2,1
2025-07-01,3,1
2025-08-01,0,25
2025-08-01,2,1
2025-08-01,4,1
2025-09-01,0,39
2025-09-01,2,2
2025-09-01,3,1
2025-10-01,0,36
2025-11-01,0,35
2025-12-01,0,38
